tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
gnl|WGS:JAKSZP|L0F63_001986-T1_mrna	L0F63_001986	519	838	140	760	246	376
gnl|WGS:JAKSZP|L0F63_001998-T1_mrna	L0F63_001998	26	73	12	51	47	83
gnl|WGS:JAKSZP|L0F63_002014-T1_mrna	L0F63_002014	95	274	29	345	58	60
gnl|WGS:JAKSZP|L0F63_002027-T1_mrna	L0F63_002027	167	468	32	420	84	113
gnl|WGS:JAKSZP|L0F63_002065-T1_mrna	L0F63_002065	674	1985	227	1171	169	375
gnl|WGS:JAKSZP|L0F63_002080-T1_mrna	L0F63_002080	2618	4361	1664	5449	1145	2395
gnl|WGS:JAKSZP|L0F63_002091-T1_mrna	L0F63_002091	113	194	23	372	34	39
gnl|WGS:JAKSZP|L0F63_002135-T1_mrna	L0F63_002135	0	0	0	0	0	0
unassigned_transcript_637	L0F63_002136	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002146-T1_mrna	L0F63_002146	2090	9658	546	6471	888	1739
gnl|WGS:JAKSZP|L0F63_002161-T1_mrna	L0F63_002161	3755.936	5762.004	1729	5114.12	2721	4003.974
unassigned_transcript_638	L0F63_002176	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002192-T1_mrna	L0F63_002192	331	419	198	397	160	273
unassigned_transcript_639	L0F63_002207	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002267-T1_mrna	L0F63_002267	3635	2981	1311	3649	2881	3700
unassigned_transcript_640	L0F63_002275	0	0	0	0	0	0
unassigned_transcript_641	L0F63_002276	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002307-T1_mrna	L0F63_002307	839	2338	748	2538	744	991
unassigned_transcript_642	L0F63_002333	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002349-T1_mrna	L0F63_002349	277	680	98	713	182	285
gnl|WGS:JAKSZP|L0F63_002350-T1_mrna	L0F63_002350	33	733	0	871	1	5
unassigned_transcript_643	L0F63_002363	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002364-T1_mrna	L0F63_002364	117	727	6	822	35	53
gnl|WGS:JAKSZP|L0F63_002365-T1_mrna	L0F63_002365	55	378	1	376	12	33
gnl|WGS:JAKSZP|L0F63_002366-T1_mrna	L0F63_002366	326	403	264	318	245	348
unassigned_transcript_644	L0F63_002367	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002391-T1_mrna	L0F63_002391	1	246	0	299	0	0
gnl|WGS:JAKSZP|L0F63_002401-T1_mrna	L0F63_002401	1397	2620	524	2115	1080	1250
gnl|WGS:JAKSZP|L0F63_002421-T1_mrna	L0F63_002421	3096	1909	503	2618	307	1070
gnl|WGS:JAKSZP|L0F63_002433-T1_mrna	L0F63_002433	1067	3428	492	3215	617	893
unassigned_transcript_645	L0F63_002434	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002435-T1_mrna	L0F63_002435	1041	3837	458	2885	719	859
gnl|WGS:JAKSZP|L0F63_002445-T1_mrna	L0F63_002445	0	0	0	0	0	0
unassigned_transcript_646	L0F63_002457	0	0	0	0	0	0
unassigned_transcript_647	L0F63_002458	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002472-T1_mrna	L0F63_002472	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002481-T1_mrna	L0F63_002481	54	138	3	132	13	35
gnl|WGS:JAKSZP|L0F63_002482-T1_mrna	L0F63_002482	238	642	24	677	70	118
unassigned_transcript_648	L0F63_002506	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002507-T1_mrna	L0F63_002507	6539	2948	2630	3024	3726	6253
gnl|WGS:JAKSZP|L0F63_002516-T1_mrna	L0F63_002516	61	42	39	54	26	41
gnl|WGS:JAKSZP|L0F63_002531-T1_mrna	L0F63_002531	579	2020	128	1709	185	309
gnl|WGS:JAKSZP|L0F63_002532-T1_mrna	L0F63_002532	1650	845	49	923	121	465
gnl|WGS:JAKSZP|L0F63_002563-T1_mrna	L0F63_002563	237	4016	49	3882	306	140
gnl|WGS:JAKSZP|L0F63_002564-T1_mrna	L0F63_002564	5548	3700	2130	2901	2573	5584.327
gnl|WGS:JAKSZP|L0F63_002576-T1_mrna	L0F63_002576	43	992.833	6	1062.262	43.278	7
gnl|WGS:JAKSZP|L0F63_002586-T1_mrna	L0F63_002586	344	1689	42	1346	236	178
gnl|WGS:JAKSZP|L0F63_002587-T1_mrna	L0F63_002587	379	759	89	580	219	358
gnl|WGS:JAKSZP|L0F63_002599-T1_mrna	L0F63_002599	0	3	2	2	0	1
gnl|WGS:JAKSZP|L0F63_002600-T1_mrna	L0F63_002600	1282	4897	518	4843	666	1147
gnl|WGS:JAKSZP|L0F63_002631-T1_mrna	L0F63_002631	697	484	244	470	426	732
gnl|WGS:JAKSZP|L0F63_002660-T1_mrna	L0F63_002660	280	110	302	257	249	620
gnl|WGS:JAKSZP|L0F63_002673-T1_mrna	L0F63_002673	25	77	3	197	19	19
gnl|WGS:JAKSZP|L0F63_002674-T1_mrna	L0F63_002674	324	668	166	803	234	282
gnl|WGS:JAKSZP|L0F63_002684-T1_mrna	L0F63_002684	155	458	94	357	98	126
gnl|WGS:JAKSZP|L0F63_002731-T1_mrna	L0F63_002731	664	1536	70	1951	281	381
gnl|WGS:JAKSZP|L0F63_002732-T1_mrna	L0F63_002732	5956	5326	3661	3029	4241	7575
unassigned_transcript_649	L0F63_002772	0	0	0	0	0	0
unassigned_transcript_650	L0F63_002788	0	0	0	0	0	0
unassigned_transcript_651	L0F63_002826	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002827-T1_mrna	L0F63_002827	3	1	0	10	29	0
gnl|WGS:JAKSZP|L0F63_002839-T1_mrna	L0F63_002839	14400	21111	9076	36941	9246	15459
gnl|WGS:JAKSZP|L0F63_002880-T1_mrna	L0F63_002880	379.771	741.397	246.767	1147.709	378.882	432.242
unassigned_transcript_652	L0F63_002933	0	0	0	0	0	0
unassigned_transcript_653	L0F63_002959	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_002960-T1_mrna	L0F63_002960	502	895	268	729	309	437
unassigned_transcript_654	L0F63_002979	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003012-T1_mrna	L0F63_003012	1426	435	796	496	1453	2043
gnl|WGS:JAKSZP|L0F63_003013-T1_mrna	L0F63_003013	55	178	15	162	54	47
unassigned_transcript_655	L0F63_003035	0	0	0	0	0	0
unassigned_transcript_656	L0F63_003036	0	0	0	0	0	0
unassigned_transcript_657	L0F63_003037	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003051-T1_mrna	L0F63_003051	44	97	27	108	36	51
gnl|WGS:JAKSZP|L0F63_003066-T1_mrna	L0F63_003066	5986	8074	1375	7263	3012	5369
unassigned_transcript_658	L0F63_003067	0	0	0	0	0	0
unassigned_transcript_659	L0F63_003086	0	0	0	0	0	0
unassigned_transcript_660	L0F63_003087	0	0	0	0	0	0
unassigned_transcript_661	L0F63_003109	0	0	0	0	0	0
unassigned_transcript_662	L0F63_003110	0	0	0	0	0	0
unassigned_transcript_663	L0F63_003119	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003137-T1_mrna	L0F63_003137	2388	4771	1340	1660	2884	2610
gnl|WGS:JAKSZP|L0F63_003146-T1_mrna	L0F63_003146	0	0	1	1	0	0
unassigned_transcript_664	L0F63_003147	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003164-T1_mrna	L0F63_003164	243	435	174	454	142	213
gnl|WGS:JAKSZP|L0F63_003203-T1_mrna	L0F63_003203	8258	5	7352	5	4059	12428
gnl|WGS:JAKSZP|L0F63_003215-T1_mrna	L0F63_003215	4046.414	6502.986	708	9533.974	90	1027
unassigned_transcript_665	L0F63_003228	0	0	0	0	0	0
unassigned_transcript_666	L0F63_003270	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003299-T1_mrna	L0F63_003299	1746	4003	151	6052	650	1075
gnl|WGS:JAKSZP|L0F63_003385-T1_mrna	L0F63_003385	286	760	82	545	188	305
unassigned_transcript_667	L0F63_003394	0	0	0	0	0	0
unassigned_transcript_668	L0F63_003395	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003430-T1_mrna	L0F63_003430	597	1303	49	1287	185	316
gnl|WGS:JAKSZP|L0F63_003451-T1_mrna	L0F63_003451	108	436	14	425	69	72
gnl|WGS:JAKSZP|L0F63_003475-T1_mrna	L0F63_003475	6.016	0	5	2	7	15
gnl|WGS:JAKSZP|L0F63_003476-T1_mrna	L0F63_003476	46	76	2	51	9	18
gnl|WGS:JAKSZP|L0F63_003517-T1_mrna	L0F63_003517	22	0	8	0	0	1
gnl|WGS:JAKSZP|L0F63_003568-T1_mrna	L0F63_003568	90	12275	11	2043	32	37
gnl|WGS:JAKSZP|L0F63_003588-T1_mrna	L0F63_003588	985	272	1258	238	1075	1235
unassigned_transcript_669	L0F63_003589	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003590-T1_mrna	L0F63_003590	1492	3956	768	2814	1340	1348
gnl|WGS:JAKSZP|L0F63_003599-T1_mrna	L0F63_003599	459	1115	314	729	518	488
gnl|WGS:JAKSZP|L0F63_003605-T1_mrna	L0F63_003605	742	1439	321	1602	687	643
unassigned_transcript_670	L0F63_003610	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003611-T1_mrna	L0F63_003611	54	193	5	155	10	29
gnl|WGS:JAKSZP|L0F63_003626-T1_mrna	L0F63_003626	16	20	9	14	7	10
gnl|WGS:JAKSZP|L0F63_003627-T1_mrna	L0F63_003627	712	757	336	652	425	692
gnl|WGS:JAKSZP|L0F63_003628-T1_mrna	L0F63_003628	11	0	2	3	3	3
gnl|WGS:JAKSZP|L0F63_003661-T1_mrna	L0F63_003661	1513	3759	198	3673	477	1054
gnl|WGS:JAKSZP|L0F63_003672-T1_mrna	L0F63_003672	1145	6041	134	7317	390	454
unassigned_transcript_671	L0F63_003680	0	0	0	0	0	0
unassigned_transcript_672	L0F63_003681	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003682-T1_mrna	L0F63_003682	340	837	217	1203	360	227
unassigned_transcript_673	L0F63_003683	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003691-T1_mrna	L0F63_003691	6647	16341	676	15347	3399	3926
gnl|WGS:JAKSZP|L0F63_003698-T1_mrna	L0F63_003698	387	315	85	228	152	203
unassigned_transcript_674	L0F63_003707	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003743-T1_mrna	L0F63_003743	151	314	145	386	66	150
gnl|WGS:JAKSZP|L0F63_003744-T1_mrna	L0F63_003744	348	807	291	835	134	306
unassigned_transcript_675	L0F63_003745	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003806-T1_mrna	L0F63_003806	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003807-T1_mrna	L0F63_003807	144	191	43	240	53	111
unassigned_transcript_676	L0F63_003808	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003817-T1_mrna	L0F63_003817	191	711	48	689	70	109
gnl|WGS:JAKSZP|L0F63_003839-T1_mrna	L0F63_003839	465	960	97	943	220	402
unassigned_transcript_677	L0F63_003846	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003847-T1_mrna	L0F63_003847	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_003858-T1_mrna	L0F63_003858	497	2170	130	2537	244	446
gnl|WGS:JAKSZP|L0F63_003918-T1_mrna	L0F63_003918	1730	3237	1184	3535	729	1816
gnl|WGS:JAKSZP|L0F63_003934-T1_mrna	L0F63_003934	9081	1654	5080	1315	8221	11228
gnl|WGS:JAKSZP|L0F63_003953-T1_mrna	L0F63_003953	1102	1520	363	1974	775	1085
gnl|WGS:JAKSZP|L0F63_004005-T1_mrna	L0F63_004005	11.099	1212.068	0	95.564	0	0
unassigned_transcript_678	L0F63_004025	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004034-T1_mrna	L0F63_004034	9.581	39.226	1.963	34.828	5.235	2.381
gnl|WGS:JAKSZP|L0F63_004035-T1_mrna	L0F63_004035	2149.419	6096.774	411.037	8312.172	829.765	1930.619
gnl|WGS:JAKSZP|L0F63_004126-T1_mrna	L0F63_004126	935	1017	225	1303	479	727
gnl|WGS:JAKSZP|L0F63_004135-T1_mrna	L0F63_004135	695	1058	172	1277	440	613
gnl|WGS:JAKSZP|L0F63_004136-T1_mrna	L0F63_004136	146	238	38	244	123	142
unassigned_transcript_679	L0F63_004149	0	0	0	0	0	0
unassigned_transcript_680	L0F63_004160	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004168-T1_mrna	L0F63_004168	302	8547	61	11512	20	106
unassigned_transcript_681	L0F63_004169	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004209-T1_mrna	L0F63_004209	0	1	1	2	0	0
unassigned_transcript_682	L0F63_004246	0	0	0	0	0	0
unassigned_transcript_683	L0F63_004265	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004273-T1_mrna	L0F63_004273	512	1601	223	1168	467	471
unassigned_transcript_684	L0F63_004281	0	0	0	0	0	0
unassigned_transcript_685	L0F63_004295	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004320-T1_mrna	L0F63_004320	759	4715	168	3857	305	531
gnl|WGS:JAKSZP|L0F63_004326-T1_mrna	L0F63_004326	3	0	1	0	2	0
gnl|WGS:JAKSZP|L0F63_004358-T1_mrna	L0F63_004358	1170	486	171	1556	201	233
unassigned_transcript_686	L0F63_004359	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004384-T1_mrna	L0F63_004384	94	285	23	415	34	68
gnl|WGS:JAKSZP|L0F63_004385-T1_mrna	L0F63_004385	42	90	5	120	7	45
gnl|WGS:JAKSZP|L0F63_004399-T1_mrna	L0F63_004399	1602.605	4589.885	279.302	6342.728	636.229	1103.656
unassigned_transcript_687	L0F63_004445	0	0	0	0	0	0
unassigned_transcript_688	L0F63_004467	0	0	0	0	0	0
unassigned_transcript_689	L0F63_004477	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004496-T1_mrna	L0F63_004496	118	7792	14	930	20	43
unassigned_transcript_690	L0F63_004511	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004517-T1_mrna	L0F63_004517	2315	1462	284	1426	2027	1526
unassigned_transcript_691	L0F63_004530	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004531-T1_mrna	L0F63_004531	104	1305	28	1159	40	54
gnl|WGS:JAKSZP|L0F63_004541-T1_mrna	L0F63_004541	2	0	1	0	0	2
gnl|WGS:JAKSZP|L0F63_004562-T1_mrna	L0F63_004562	6835.303	18998.999	738	27300.997	2544.185	3379.415
unassigned_transcript_692	L0F63_004579	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004580-T1_mrna	L0F63_004580	228	858	12	1088	161	98
gnl|WGS:JAKSZP|L0F63_004592-T1_mrna	L0F63_004592	1044	2672	98	2898	370	606
gnl|WGS:JAKSZP|L0F63_004599-T1_mrna	L0F63_004599	2574	3183	937	5076	1444	2151
gnl|WGS:JAKSZP|L0F63_004600-T1_mrna	L0F63_004600	534	651	181	1011	359	476
gnl|WGS:JAKSZP|L0F63_004615-T1_mrna	L0F63_004615	1029	5489	297	4233	434	560
gnl|WGS:JAKSZP|L0F63_004616-T1_mrna	L0F63_004616	25	11	5	19	3	4
gnl|WGS:JAKSZP|L0F63_004658-T1_mrna	L0F63_004658	668	298	411	307	385	1050
gnl|WGS:JAKSZP|L0F63_004664-T1_mrna	L0F63_004664	32	139	7	376	10	5
gnl|WGS:JAKSZP|L0F63_004689-T1_mrna	L0F63_004689	258	930	111	1115	163	257
gnl|WGS:JAKSZP|L0F63_004731-T1_mrna	L0F63_004731	133	234	34	436	67	72
gnl|WGS:JAKSZP|L0F63_004732-T1_mrna	L0F63_004732	2454	4856	1001	5261	2152	2468
unassigned_transcript_693	L0F63_004733	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004742-T1_mrna	L0F63_004742	338	564	19	689	134	161
gnl|WGS:JAKSZP|L0F63_004743-T1_mrna	L0F63_004743	2499	4719	733	3700	1280	3031
gnl|WGS:JAKSZP|L0F63_004775-T1_mrna	L0F63_004775	5384	6994	506	6225	2819	3261
unassigned_transcript_694	L0F63_004785	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004786-T1_mrna	L0F63_004786	453	1167	27	1019	154	213
gnl|WGS:JAKSZP|L0F63_004796-T1_mrna	L0F63_004796	6.132	9.652	4.334	9.08	3	4.111
gnl|WGS:JAKSZP|L0F63_004797-T1_mrna	L0F63_004797	115.62	97.225	48.528	168.564	88.121	83.358
unassigned_transcript_695	L0F63_004811	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004821-T1_mrna	L0F63_004821	86	489.998	1	397.999	15	21
gnl|WGS:JAKSZP|L0F63_004835-T1_mrna	L0F63_004835	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004843-T1_mrna	L0F63_004843	2788	3478	1030	3332	1804	3171
unassigned_transcript_696	L0F63_004871	0	0	0	0	0	0
unassigned_transcript_697	L0F63_004895	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_004903-T1_mrna	L0F63_004903	84	154	18	169	55	80
gnl|WGS:JAKSZP|L0F63_004904-T1_mrna	L0F63_004904	372	659	88	664	178	403
gnl|WGS:JAKSZP|L0F63_004905-T1_mrna	L0F63_004905	1311	4400	432	3420	891	1506
gnl|WGS:JAKSZP|L0F63_004914-T1_mrna	L0F63_004914	582	1456	128	1514	458	489
gnl|WGS:JAKSZP|L0F63_004945-T1_mrna	L0F63_004945	0	9	2	72	3	0
gnl|WGS:JAKSZP|L0F63_004980-T1_mrna	L0F63_004980	2232	65	2255	211	2686	3801
unassigned_transcript_698	L0F63_005011	0	0	0	0	0	0
unassigned_transcript_699	L0F63_005017	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005018-T1_mrna	L0F63_005018	1559	2024	753	1630	810	1786
gnl|WGS:JAKSZP|L0F63_005019-T1_mrna	L0F63_005019	678	1806	232	1723	429	563
gnl|WGS:JAKSZP|L0F63_005030-T1_mrna	L0F63_005030	151	317	27	278	87	89
unassigned_transcript_700	L0F63_005042	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005049-T1_mrna	L0F63_005049	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005061-T1_mrna	L0F63_005061	363	928	62	750	147	261
gnl|WGS:JAKSZP|L0F63_005068-T1_mrna	L0F63_005068	735.149	1160.989	301.108	95	0	1103.825
gnl|WGS:JAKSZP|L0F63_005081-T1_mrna	L0F63_005081	407	629	92	700	181	377
gnl|WGS:JAKSZP|L0F63_005082-T1_mrna	L0F63_005082	4	10	3	14	3	8
gnl|WGS:JAKSZP|L0F63_005090-T1_mrna	L0F63_005090	903	687	265	638	371	750
gnl|WGS:JAKSZP|L0F63_005098-T1_mrna	L0F63_005098	4099	4983	1285	5181	3384	3600
gnl|WGS:JAKSZP|L0F63_005163-T1_mrna	L0F63_005163	4986	6800	1704	10281	3185	3868
gnl|WGS:JAKSZP|L0F63_005168-T1_mrna	L0F63_005168	1094	975	22	1767	29	205
unassigned_transcript_701	L0F63_005177	0	0	0	0	0	0
unassigned_transcript_702	L0F63_005178	0	0	0	0	0	0
unassigned_transcript_703	L0F63_005237	0	0	0	0	0	0
unassigned_transcript_704	L0F63_005253	0	0	0	0	0	0
unassigned_transcript_705	L0F63_005271	0	0	0	0	0	0
unassigned_transcript_706	L0F63_005277	0	0	0	0	0	0
unassigned_transcript_707	L0F63_005278	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005315-T1_mrna	L0F63_005315	1	55	0	12	0	0
gnl|WGS:JAKSZP|L0F63_005326-T1_mrna	L0F63_005326	1891	720	1206	903	993	2121
unassigned_transcript_708	L0F63_005348	0	0	0	0	0	0
unassigned_transcript_709	L0F63_005355	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005356-T1_mrna	L0F63_005356	628	180	325	186	425	691
gnl|WGS:JAKSZP|L0F63_005381-T1_mrna	L0F63_005381	1170	1891	1443	2005	525	1663
gnl|WGS:JAKSZP|L0F63_005382-T1_mrna	L0F63_005382	418	1891	79	1759	123	252
gnl|WGS:JAKSZP|L0F63_005399-T1_mrna	L0F63_005399	9	3	0	4	1	0
gnl|WGS:JAKSZP|L0F63_005400-T1_mrna	L0F63_005400	56	56	8	86	29	38
gnl|WGS:JAKSZP|L0F63_005424-T1_mrna	L0F63_005424	2515	1698	1315	1491	615	1477
gnl|WGS:JAKSZP|L0F63_005432-T1_mrna	L0F63_005432	225	597	89	760	124	223
unassigned_transcript_710	L0F63_005433	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005453-T1_mrna	L0F63_005453	433	1686	120	1397	168	231
gnl|WGS:JAKSZP|L0F63_005461-T1_mrna	L0F63_005461	132	406	30	417	65	140
gnl|WGS:JAKSZP|L0F63_005470-T1_mrna	L0F63_005470	252	935	1019	1010	93	223
gnl|WGS:JAKSZP|L0F63_005471-T1_mrna	L0F63_005471	147	187	94	317	49	37
gnl|WGS:JAKSZP|L0F63_005510-T1_mrna	L0F63_005510	807	2494	132	2142	287	687
gnl|WGS:JAKSZP|L0F63_005523-T1_mrna	L0F63_005523	1030	3963	113	3526	494	539
gnl|WGS:JAKSZP|L0F63_005527-T1_mrna	L0F63_005527	685	537	87	376	164	525
gnl|WGS:JAKSZP|L0F63_005533-T1_mrna	L0F63_005533	361	941	94	850	175	355
gnl|WGS:JAKSZP|L0F63_005540-T1_mrna	L0F63_005540	1318	266	557	618	725	1368
gnl|WGS:JAKSZP|L0F63_005549-T1_mrna	L0F63_005549	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005571-T1_mrna	L0F63_005571	3105	2005	2072	2731	1707	3109
unassigned_transcript_711	L0F63_005572	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005577-T1_mrna	L0F63_005577	248	449	137	425	161	254
gnl|WGS:JAKSZP|L0F63_005594-T1_mrna	L0F63_005594	150	326	32	290	108	111
gnl|WGS:JAKSZP|L0F63_005595-T1_mrna	L0F63_005595	274	387	104	426	145	244
gnl|WGS:JAKSZP|L0F63_005613-T1_mrna	L0F63_005613	76	377	4	262	7	23
gnl|WGS:JAKSZP|L0F63_005614-T1_mrna	L0F63_005614	133	867	15	825	49	109
unassigned_transcript_712	L0F63_005618	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005656-T1_mrna	L0F63_005656	644	914	287	1192	472	669
gnl|WGS:JAKSZP|L0F63_005670-T1_mrna	L0F63_005670	225	90	186	115	116	325
gnl|WGS:JAKSZP|L0F63_005671-T1_mrna	L0F63_005671	47	66	98	26	46	77
gnl|WGS:JAKSZP|L0F63_005672-T1_mrna	L0F63_005672	67	50	125	45	55	111
gnl|WGS:JAKSZP|L0F63_005685-T1_mrna	L0F63_005685	0	0	1	0	0	0
gnl|WGS:JAKSZP|L0F63_005692-T1_mrna	L0F63_005692	515	513	246	550	403	633
unassigned_transcript_713	L0F63_005699	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005714-T1_mrna	L0F63_005714	181	303	73	270	226	154
unassigned_transcript_714	L0F63_005718	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005739-T1_mrna	L0F63_005739	6315.201	5633.156	2135.963	7398.826	3795.122	5776.127
unassigned_transcript_715	L0F63_005743	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005751-T1_mrna	L0F63_005751	615	3131	49	4187	102	174
unassigned_transcript_716	L0F63_005759	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005764-T1_mrna	L0F63_005764	322.667	1124.521	77.321	997.459	147.337	223.012
gnl|WGS:JAKSZP|L0F63_005766-T1_mrna	L0F63_005766	0	0	20	1	1	0
unassigned_transcript_717	L0F63_005774	0	0	0	0	0	0
unassigned_transcript_718	L0F63_005797	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005810-T1_mrna	L0F63_005810	197	464	93	418	109	190
gnl|WGS:JAKSZP|L0F63_005811-T1_mrna	L0F63_005811	115	283	65	263	72	107
gnl|WGS:JAKSZP|L0F63_005829-T1_mrna	L0F63_005829	1322	2419	558	2401	1504	1353
unassigned_transcript_719	L0F63_005854	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005877-T1_mrna	L0F63_005877	16	88	2	279	14	7
gnl|WGS:JAKSZP|L0F63_005885-T1_mrna	L0F63_005885	0	0	0	1	0	0
gnl|WGS:JAKSZP|L0F63_005886-T1_mrna	L0F63_005886	0	0	0	1	1	2
gnl|WGS:JAKSZP|L0F63_005947-T1_mrna	L0F63_005947	554	2	391	13	198	837
gnl|WGS:JAKSZP|L0F63_005970-T1_mrna	L0F63_005970	94	411	5	202	30	66
unassigned_transcript_720	L0F63_005974	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_005975-T1_mrna	L0F63_005975	380	1075	83	987	248	351
gnl|WGS:JAKSZP|L0F63_005999-T1_mrna	L0F63_005999	24741	0	20269	4	14029	42113
gnl|WGS:JAKSZP|L0F63_006002-T1_mrna	L0F63_006002	510	740	249	693	303	628
gnl|WGS:JAKSZP|L0F63_006006-T1_mrna	L0F63_006006	657	1543	63	1821	217	480
gnl|WGS:JAKSZP|L0F63_006011-T1_mrna	L0F63_006011	781	1689	303	1436	472	838
gnl|WGS:JAKSZP|L0F63_006017-T1_mrna	L0F63_006017	1303	7797	930	11292	253	397
gnl|WGS:JAKSZP|L0F63_006039-T1_mrna	L0F63_006039	935	2091	511	2777	764	637
gnl|WGS:JAKSZP|L0F63_006072-T1_mrna	L0F63_006072	0	0	0	0	0	0
unassigned_transcript_721	L0F63_006099	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_006101-T1_mrna	L0F63_006101	352	756	83	764	345	297
gnl|WGS:JAKSZP|L0F63_006133-T1_mrna	L0F63_006133	993	2706	336	2617	597	620
gnl|WGS:JAKSZP|L0F63_006164-T1_mrna	L0F63_006164	803	661	364	783	474	930
gnl|WGS:JAKSZP|L0F63_006174-T1_mrna	L0F63_006174	1.074	9.84	0	7.035	0	1.056
gnl|WGS:JAKSZP|L0F63_006175-T1_mrna	L0F63_006175	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_006176-T1_mrna	L0F63_006176	3.519	0	1.27	2.573	1.193	5.808
unassigned_transcript_722	L0F63_006212	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_006244-T1_mrna	L0F63_006244	3	31	0	28	5	4
gnl|WGS:JAKSZP|L0F63_006249-T1_mrna	L0F63_006249	30	37	5	79	6	16
gnl|WGS:JAKSZP|L0F63_006250-T1_mrna	L0F63_006250	579	1906	108	1939	399	538
gnl|WGS:JAKSZP|L0F63_006292-T1_mrna	L0F63_006292	347	672	144	682	264	365
gnl|WGS:JAKSZP|L0F63_006295-T1_mrna	L0F63_006295	6	11	9	17	64	3
unassigned_transcript_723	L0F63_006296	0	0	0	0	0	0
unassigned_transcript_724	L0F63_006310	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_006346-T1_mrna	L0F63_006346	2710	5944	1507	6947	2850	2519
gnl|WGS:JAKSZP|L0F63_006386-T1_mrna	L0F63_006386	0	0	0	0	0	0
