gene_id	gene_name	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
L0F63_003903	L0F63_003903	3268	2312	450	2345	1564	2561
L0F63_003904	L0F63_003904	5807	2363	1238	5681	4193	4544
L0F63_003905	L0F63_003905	0	0	0	0	0	0
L0F63_003906	L0F63_003906	0	0	0	0	0	0
L0F63_003907	L0F63_003907	679	3926	101	3099	311	399
L0F63_003908	L0F63_003908	9013	11969	6470	8676	5829	6603
L0F63_003909	L0F63_003909	0	0	0	0	0	0
L0F63_003910	L0F63_003910	0	0	0	0	0	0
L0F63_003911	L0F63_003911	0	0	1	1	0	2
L0F63_003912	L0F63_003912	1050	1251	509	1137	492	985
L0F63_003913	L0F63_003913	0	0	0	0	0	0
L0F63_003914	L0F63_003914	257.064	906.996	78	769.88	99	186.026
L0F63_003915	L0F63_003915	303	558	130	739	134	220
L0F63_003916	L0F63_003916	91	284	42	362	67	117
L0F63_003917	L0F63_003917	24372	12780	6232	19019	18324	20288
L0F63_003918	L0F63_003918	1730	3237	1184	3535	729	1816
L0F63_003919	L0F63_003919	182	449	20	642	47	95
L0F63_003920	L0F63_003920	673	1950	292	1713	443	581
L0F63_003921	L0F63_003921	0	0	0	0	0	0
L0F63_003922	L0F63_003922	0	0	0	0	0	0
L0F63_003923	L0F63_003923	0	0	0	0	0	0
L0F63_003924	L0F63_003924	0	0	0	0	0	0
L0F63_003925	L0F63_003925	101	225	39	205.999	65	109.291
L0F63_003926	L0F63_003926	2154	3583	1204	1799	1488	2335
L0F63_003927	L0F63_003927	130	195	89	192	114	219
L0F63_003928	L0F63_003928	0	0	0	0	0	0
L0F63_003929	L0F63_003929	0	0	0	0	0	0
L0F63_003930	L0F63_003930	2925	1831	358	2069	235	1009
L0F63_003931	L0F63_003931	0	0	0	0	0	0
L0F63_003932	L0F63_003932	0	0	0	0	0	0
L0F63_003933	L0F63_003933	8	672	14	186	55	2
L0F63_003934	L0F63_003934	9081	1654	5080	1315	8221	11228
L0F63_003935	L0F63_003935	658	2151	203	2330	256	577
L0F63_003936	L0F63_003936	440	1018	241	879	224	528
L0F63_003937	L0F63_003937	1743	2605	573	2583	1069	1615
L0F63_003938	L0F63_003938	15	13.261	27.295	42.271	0	0
L0F63_003939	L0F63_003939	581	1390	132	1267	375	518
L0F63_003940	L0F63_003940	82	50	20	41	50	79
L0F63_003941	L0F63_003941	230	625	198	887	40	177
L0F63_003942	L0F63_003942	0	0	0	0	0	0
L0F63_003943	L0F63_003943	0	0	0	0	0	0
L0F63_003944	L0F63_003944	41	89	8	87	12	18
L0F63_003945	L0F63_003945	602	1588	229	1782	309	522
L0F63_003946	L0F63_003946	0	0	0	0	0	0
L0F63_003947	L0F63_003947	0	0	0	0	0	0
L0F63_003948	L0F63_003948	0	0	0	0	0	0
L0F63_003949	L0F63_003949	22	8	9	21	16	19
L0F63_003950	L0F63_003950	72	347	20	295	31	51
L0F63_003951	L0F63_003951	2610.242	15320.221	184.735	17278.117	791.864	912.82
L0F63_003952	L0F63_003952	625	1080	200	1679	459	607
L0F63_003953	L0F63_003953	1102	1520	363	1974	775	1085
L0F63_003954	L0F63_003954	702	496	455	110	183	559
L0F63_003955	L0F63_003955	816	1167	442	1298	631	1118
L0F63_003956	L0F63_003956	0	0	0	0	0	0
L0F63_003957	L0F63_003957	0	0	0	0	0	0
L0F63_003958	L0F63_003958	0	0	0	0	0	0
L0F63_003959	L0F63_003959	0	0	0	1	0	0
L0F63_003960	L0F63_003960	775	3587	96	4771	315	387
L0F63_003961	L0F63_003961	972	437	869	497	872	1144
L0F63_003962	L0F63_003962	0	0	0	0	0	0
L0F63_003963	L0F63_003963	0	0	0	0	0	0
L0F63_003964	L0F63_003964	0	0	0	0	0	0
L0F63_003965	L0F63_003965	0	0	0	5	0	1
L0F63_003966	L0F63_003966	260	366	69	344	160	219
L0F63_003967	L0F63_003967	760	296	174	338	440	863
L0F63_003968	L0F63_003968	0	0	0	0	0	0
L0F63_003969	L0F63_003969	16	1310	15	195	35	20
L0F63_003970	L0F63_003970	1634	2722	918	3634	1155	1132
L0F63_003971	L0F63_003971	0	0	0	0	0	0
L0F63_003972	L0F63_003972	70	372	23	328	17	39
L0F63_003973	L0F63_003973	1914	3126	900	3694	1159	1742
L0F63_003974	L0F63_003974	0	0	0	0	0	0
L0F63_003975	L0F63_003975	1181	2669	914	3324	721	1001
L0F63_003976	L0F63_003976	672	2078	170	2046	345	433
L0F63_003977	L0F63_003977	2405	6662	286	5157	1147	1827
L0F63_003978	L0F63_003978	1	0	0	0	0	0
L0F63_003979	L0F63_003979	0	0	0	0	0	0
L0F63_003980	L0F63_003980	0	0	0	0	0	0
L0F63_003981	L0F63_003981	0	0	0	0	0	0
L0F63_003982	L0F63_003982	1009	4880	302	7399	362	874
L0F63_003983	L0F63_003983	1	2	1	5	0	2
L0F63_003984	L0F63_003984	0	0	0	0	0	0
L0F63_003985	L0F63_003985	4	8	26	38	0	0
L0F63_003986	L0F63_003986	248	1026	51	931	126	233
L0F63_003987	L0F63_003987	210	456	93	385	126	180
L0F63_003988	L0F63_003988	0	0	0	0	0	0
L0F63_003989	L0F63_003989	2408	7017	567	8543	589	1409
L0F63_003990	L0F63_003990	0	0	0	0	0	0
L0F63_003991	L0F63_003991	414	3166	120	2349	218	357
L0F63_003992	L0F63_003992	850	1500	202	1473	284	615
L0F63_003993	L0F63_003993	0	0	0	0	0	0
L0F63_003994	L0F63_003994	22	0	11	0	6	27
L0F63_003995	L0F63_003995	1067	1708	445	2240	412	1065
L0F63_003996	L0F63_003996	723	1097	607	819	522	946
L0F63_003997	L0F63_003997	433	1105	48	1227	133	233
L0F63_003998	L0F63_003998	278	725	36	919	66	134
L0F63_003999	L0F63_003999	289	480	92	760	219	321
L0F63_004000	L0F63_004000	0	0	0	0	0	0
L0F63_004001	L0F63_004001	0	0	0	0	0	0
L0F63_004002	L0F63_004002	159.662	419.102	81.419	445.559	187.837	189.354
L0F63_004003	L0F63_004003	0	0	0	0	0	0
L0F63_004004	L0F63_004004	0	0	0	0	0	0
L0F63_004005	L0F63_004005	11.099	1212.068	0	95.564	0	0
L0F63_004006	L0F63_004006	0	0	0	0	0	0
L0F63_004007	L0F63_004007	0	0	0	0	0	0
L0F63_004008	L0F63_004008	0	0	0	0	0	0
L0F63_004009	L0F63_004009	0	0	0	0	0	0
L0F63_004010	L0F63_004010	711	3354	219	4926	324	695
L0F63_004011	L0F63_004011	0	0	0	0	0	0
L0F63_004012	L0F63_004012	0	8	2	1	0	2
L0F63_004013	L0F63_004013	0	0	0	0	0	0
L0F63_004014	L0F63_004014	18	108	0	133	0	4
L0F63_004015	L0F63_004015	1396	16415	762	12436	168	634
L0F63_004016	L0F63_004016	285	1053	77	1058	188	211
L0F63_004017	L0F63_004017	81	277	14	298	56	79
L0F63_004018	L0F63_004018	8	42	1	41	5	11
L0F63_004019	L0F63_004019	1	0	0	0	0	0
L0F63_004020	L0F63_004020	458	1129	207	829	202	403
L0F63_004021	L0F63_004021	0	0	0	0	0	0
L0F63_004022	L0F63_004022	0	0	0	0	0	0
L0F63_004023	L0F63_004023	0	0	0	0	0	0
L0F63_004024	L0F63_004024	312	102	292	65	283	560
L0F63_004025	L0F63_004025	0	0	0	0	0	0
L0F63_004026	L0F63_004026	197	2992	4	2314	21	50
L0F63_004027	L0F63_004027	562	1423	177	1332	277	394
L0F63_004028	L0F63_004028	76	313	47	373	20	45
L0F63_004029	L0F63_004029	2	2	3	3	3	5
L0F63_004030	L0F63_004030	0	0	0	0	0	0
L0F63_004031	L0F63_004031	720	2881	212	2091	407	559
L0F63_004032	L0F63_004032	156	1104	11	1152	21	97
L0F63_004033	L0F63_004033	1348	676	1061	590	1530	1664
L0F63_004034	L0F63_004034	9.581	39.226	1.963	34.828	5.235	2.381
L0F63_004035	L0F63_004035	2149.419	6096.774	411.037	8312.172	829.765	1930.619
L0F63_004036	L0F63_004036	0	0	0	0	0	0
L0F63_004037	L0F63_004037	0	0	0	0	0	0
